,mw
2019-01-01 00:00:00,141.176
2019-01-01 01:00:00,133.433
2019-01-01 02:00:00,128.826
2019-01-01 03:00:00,126.697
2019-01-01 04:00:00,126.628
2019-01-01 05:00:00,130.047
2019-01-01 06:00:00,133.899
2019-01-01 07:00:00,134.441
2019-01-01 08:00:00,134.669
2019-01-01 09:00:00,133.119
2019-01-01 10:00:00,135.646
2019-01-01 11:00:00,141.736
2019-01-01 12:00:00,143.968
2019-01-01 13:00:00,144.823
2019-01-01 14:00:00,148.983
2019-01-01 15:00:00,153.034
2019-01-01 16:00:00,165.474
2019-01-01 17:00:00,176.827
2019-01-01 18:00:00,175.983
2019-01-01 19:00:00,171.875
2019-01-01 20:00:00,167.25
2019-01-01 21:00:00,160.904
2019-01-01 22:00:00,151.113
2019-01-01 23:00:00,140.553
2019-01-02 00:00:00,130.874
2019-01-02 01:00:00,124.567
2019-01-02 02:00:00,121.01
2019-01-02 03:00:00,119.685
2019-01-02 04:00:00,119.619
2019-01-02 05:00:00,121.432
2019-01-02 06:00:00,125.554
2019-01-02 07:00:00,128.26
2019-01-02 08:00:00,129.981
2019-01-02 09:00:00,130.94
2019-01-02 10:00:00,130.474
2019-01-02 11:00:00,131.88
2019-01-02 12:00:00,131.752
2019-01-02 13:00:00,131.797
2019-01-02 14:00:00,131.831
2019-01-02 15:00:00,136.655
2019-01-02 16:00:00,149.636
2019-01-02 17:00:00,167.238
2019-01-02 18:00:00,168.475
2019-01-02 19:00:00,165.631
2019-01-02 20:00:00,162.319
2019-01-02 21:00:00,157.455
2019-01-02 22:00:00,149.596
2019-01-02 23:00:00,140.346
2019-01-03 00:00:00,130.981
2019-01-03 01:00:00,125.15
2019-01-03 02:00:00,122.582
2019-01-03 03:00:00,121.232
2019-01-03 04:00:00,121.532
2019-01-03 05:00:00,123.435
2019-01-03 06:00:00,125.766
2019-01-03 07:00:00,128.656
2019-01-03 08:00:00,132.613
2019-01-03 09:00:00,139.716
2019-01-03 10:00:00,147.357
2019-01-03 11:00:00,149.691
2019-01-03 12:00:00,152.354
2019-01-03 13:00:00,155.243
2019-01-03 14:00:00,156.513
2019-01-03 15:00:00,158.343
2019-01-03 16:00:00,167.92
2019-01-03 17:00:00,178.063
2019-01-03 18:00:00,177.195
2019-01-03 19:00:00,173.246
2019-01-03 20:00:00,167.308
2019-01-03 21:00:00,159.324
2019-01-03 22:00:00,148.863
2019-01-03 23:00:00,137.449
2019-01-04 00:00:00,128.147
2019-01-04 01:00:00,123.708
2019-01-04 02:00:00,121.64
2019-01-04 03:00:00,121.758
2019-01-04 04:00:00,123.986
2019-01-04 05:00:00,130.4
2019-01-04 06:00:00,142.143
2019-01-04 07:00:00,156.405
2019-01-04 08:00:00,165.943
2019-01-04 09:00:00,167.954
2019-01-04 10:00:00,162.934
2019-01-04 11:00:00,158.886
2019-01-04 12:00:00,160.34
2019-01-04 13:00:00,166.065
2019-01-04 14:00:00,167.095
2019-01-04 15:00:00,166.661
2019-01-04 16:00:00,173.253
2019-01-04 17:00:00,187.242
2019-01-04 18:00:00,186.251
2019-01-04 19:00:00,179.515
2019-01-04 20:00:00,172.49
2019-01-04 21:00:00,164.065
2019-01-04 22:00:00,151.265
2019-01-04 23:00:00,137.707
2019-01-05 00:00:00,128.428
2019-01-05 01:00:00,123.395
2019-01-05 02:00:00,120.717
2019-01-05 03:00:00,120.608
2019-01-05 04:00:00,122.711
2019-01-05 05:00:00,129.268
2019-01-05 06:00:00,140.625
2019-01-05 07:00:00,154.309
2019-01-05 08:00:00,162.434
2019-01-05 09:00:00,165.874
2019-01-05 10:00:00,165.317
2019-01-05 11:00:00,166.62
2019-01-05 12:00:00,167.254
2019-01-05 13:00:00,168.295
2019-01-05 14:00:00,168.848
2019-01-05 15:00:00,168.968
2019-01-05 16:00:00,177.231
2019-01-05 17:00:00,187.922
2019-01-05 18:00:00,186.598
2019-01-05 19:00:00,180.403
2019-01-05 20:00:00,173.388
2019-01-05 21:00:00,164.306
2019-01-05 22:00:00,151.953
2019-01-05 23:00:00,139.924
2019-01-06 00:00:00,130.613
2019-01-06 01:00:00,125.359
2019-01-06 02:00:00,122.476
2019-01-06 03:00:00,121.72
2019-01-06 04:00:00,124.001
2019-01-06 05:00:00,130.673
2019-01-06 06:00:00,142.282
2019-01-06 07:00:00,155.37
2019-01-06 08:00:00,163.475
2019-01-06 09:00:00,164.795
2019-01-06 10:00:00,162.915
2019-01-06 11:00:00,162.124
2019-01-06 12:00:00,158.985
2019-01-06 13:00:00,159.505
2019-01-06 14:00:00,162.84
2019-01-06 15:00:00,165.859
2019-01-06 16:00:00,173.934
2019-01-06 17:00:00,189.409
2019-01-06 18:00:00,188.824
2019-01-06 19:00:00,182.594
2019-01-06 20:00:00,175.89
2019-01-06 21:00:00,166.817
2019-01-06 22:00:00,154.527
2019-01-06 23:00:00,141.606
2019-01-07 00:00:00,132.957
2019-01-07 01:00:00,127.212
2019-01-07 02:00:00,125.296
2019-01-07 03:00:00,125.176
2019-01-07 04:00:00,127.504
2019-01-07 05:00:00,134.376
2019-01-07 06:00:00,145.787
2019-01-07 07:00:00,158.674
2019-01-07 08:00:00,165.444
2019-01-07 09:00:00,165.34
2019-01-07 10:00:00,162.135
2019-01-07 11:00:00,160.904
2019-01-07 12:00:00,159.558
2019-01-07 13:00:00,159.87
2019-01-07 14:00:00,160.804
2019-01-07 15:00:00,162.966
2019-01-07 16:00:00,171.429
2019-01-07 17:00:00,186.35
2019-01-07 18:00:00,187.995
2019-01-07 19:00:00,182.717
2019-01-07 20:00:00,177.316
2019-01-07 21:00:00,168.868
2019-01-07 22:00:00,155.901
2019-01-07 23:00:00,143.683
2019-01-08 00:00:00,135.18
2019-01-08 01:00:00,130.325
2019-01-08 02:00:00,128.261
2019-01-08 03:00:00,128.706
2019-01-08 04:00:00,131.081
2019-01-08 05:00:00,137.679
2019-01-08 06:00:00,148.857
2019-01-08 07:00:00,160.976
2019-01-08 08:00:00,166.479
2019-01-08 09:00:00,167.014
2019-01-08 10:00:00,164.616
2019-01-08 11:00:00,161.741
2019-01-08 12:00:00,166.052
2019-01-08 13:00:00,162.566
2019-01-08 14:00:00,166.513
2019-01-08 15:00:00,167.127
2019-01-08 16:00:00,175.504
2019-01-08 17:00:00,186.839
2019-01-08 18:00:00,185.763
2019-01-08 19:00:00,180.418
2019-01-08 20:00:00,175.418
2019-01-08 21:00:00,168.744
2019-01-08 22:00:00,157.978
2019-01-08 23:00:00,147.214
2019-01-09 00:00:00,138.357
2019-01-09 01:00:00,132.981
2019-01-09 02:00:00,130.819
2019-01-09 03:00:00,129.88
2019-01-09 04:00:00,131.351
2019-01-09 05:00:00,133.451
2019-01-09 06:00:00,139.591
2019-01-09 07:00:00,144.145
2019-01-09 08:00:00,147.755
2019-01-09 09:00:00,147.785
2019-01-09 10:00:00,145.832
2019-01-09 11:00:00,145.857
2019-01-09 12:00:00,144.508
2019-01-09 13:00:00,147.146
2019-01-09 14:00:00,147.92
2019-01-09 15:00:00,152.622
2019-01-09 16:00:00,160.626
2019-01-09 17:00:00,173.609
2019-01-09 18:00:00,173.78
2019-01-09 19:00:00,170.242
2019-01-09 20:00:00,166.0
2019-01-09 21:00:00,160.629
2019-01-09 22:00:00,151.825
2019-01-09 23:00:00,142.273
2019-01-10 00:00:00,133.598
2019-01-10 01:00:00,128.461
2019-01-10 02:00:00,126.026
2019-01-10 03:00:00,125.109
2019-01-10 04:00:00,126.177
2019-01-10 05:00:00,127.554
2019-01-10 06:00:00,131.369
2019-01-10 07:00:00,133.945
2019-01-10 08:00:00,135.724
2019-01-10 09:00:00,135.511
2019-01-10 10:00:00,134.199
2019-01-10 11:00:00,131.839
2019-01-10 12:00:00,133.26
2019-01-10 13:00:00,135.391
2019-01-10 14:00:00,136.197
2019-01-10 15:00:00,140.831
2019-01-10 16:00:00,150.61
2019-01-10 17:00:00,169.683
2019-01-10 18:00:00,172.527
2019-01-10 19:00:00,170.33
2019-01-10 20:00:00,166.439
2019-01-10 21:00:00,159.61
2019-01-10 22:00:00,150.187
2019-01-10 23:00:00,140.239
2019-01-11 00:00:00,133.006
2019-01-11 01:00:00,129.143
2019-01-11 02:00:00,128.603
2019-01-11 03:00:00,128.882
2019-01-11 04:00:00,131.307
2019-01-11 05:00:00,137.296
2019-01-11 06:00:00,149.506
2019-01-11 07:00:00,164.304
2019-01-11 08:00:00,172.342
2019-01-11 09:00:00,175.763
2019-01-11 10:00:00,178.12
2019-01-11 11:00:00,178.559
2019-01-11 12:00:00,174.136
2019-01-11 13:00:00,172.435
2019-01-11 14:00:00,174.586
2019-01-11 15:00:00,174.08
2019-01-11 16:00:00,178.64
2019-01-11 17:00:00,190.132
2019-01-11 18:00:00,189.543
2019-01-11 19:00:00,183.044
2019-01-11 20:00:00,177.351
2019-01-11 21:00:00,168.909
2019-01-11 22:00:00,157.265
2019-01-11 23:00:00,144.969
2019-01-12 00:00:00,136.709
2019-01-12 01:00:00,131.603
2019-01-12 02:00:00,127.243
2019-01-12 03:00:00,123.548
2019-01-12 04:00:00,126.059
2019-01-12 05:00:00,132.476
2019-01-12 06:00:00,145.33
2019-01-12 07:00:00,158.314
2019-01-12 08:00:00,163.694
2019-01-12 09:00:00,162.475
2019-01-12 10:00:00,158.812
2019-01-12 11:00:00,155.637
2019-01-12 12:00:00,153.784
2019-01-12 13:00:00,152.321
2019-01-12 14:00:00,152.472
2019-01-12 15:00:00,154.574
2019-01-12 16:00:00,162.439
2019-01-12 17:00:00,177.688
2019-01-12 18:00:00,178.97
2019-01-12 19:00:00,172.854
2019-01-12 20:00:00,165.589
2019-01-12 21:00:00,158.665
2019-01-12 22:00:00,151.547
2019-01-12 23:00:00,139.459
2019-01-13 00:00:00,131.217
2019-01-13 01:00:00,125.969
2019-01-13 02:00:00,123.84
2019-01-13 03:00:00,123.841
2019-01-13 04:00:00,126.54
2019-01-13 05:00:00,132.077
2019-01-13 06:00:00,143.639
2019-01-13 07:00:00,158.027
2019-01-13 08:00:00,168.435
2019-01-13 09:00:00,173.493
2019-01-13 10:00:00,173.954
2019-01-13 11:00:00,171.78
2019-01-13 12:00:00,166.73
2019-01-13 13:00:00,166.553
2019-01-13 14:00:00,167.936
